#INPUT_TABLE
#Variable ID
#GlobalIntTechOMfixed
#
sector.name,subsector.name,intermittent.technology,year,input.OM.fixed,OM.fixed,capacity.factor
elect_td_bld,rooftop_pv,rooftop_pv,2065,OM-fixed,14.23,0.2
electricity,wind,wind,2070,OM-fixed,11.71,0.37
electricity,solar,PV,2070,OM-fixed,9.37,0.2
electricity,solar,CSP,2070,OM-fixed,10.63,0.25
elect_td_bld,rooftop_pv,rooftop_pv,2070,OM-fixed,14.06,0.2
electricity,wind,wind,2075,OM-fixed,11.59,0.37
electricity,solar,PV,2075,OM-fixed,9.27,0.2
electricity,solar,CSP,2075,OM-fixed,10.54,0.25
elect_td_bld,rooftop_pv,rooftop_pv,2075,OM-fixed,13.91,0.2
electricity,wind,wind,2080,OM-fixed,11.49,0.37
electricity,solar,PV,2080,OM-fixed,9.19,0.2
electricity,solar,CSP,2080,OM-fixed,10.47,0.25
elect_td_bld,rooftop_pv,rooftop_pv,2080,OM-fixed,13.78,0.2
electricity,wind,wind,2085,OM-fixed,11.4,0.37
electricity,solar,PV,2085,OM-fixed,9.12,0.2
electricity,solar,CSP,2085,OM-fixed,10.41,0.25
elect_td_bld,rooftop_pv,rooftop_pv,2085,OM-fixed,13.67,0.2
electricity,wind,wind,2090,OM-fixed,11.32,0.37
electricity,solar,PV,2090,OM-fixed,9.05,0.2
electricity,solar,CSP,2090,OM-fixed,10.37,0.25
elect_td_bld,rooftop_pv,rooftop_pv,2090,OM-fixed,13.58,0.2
electricity,wind,wind,2095,OM-fixed,11.25,0.37
electricity,solar,PV,2095,OM-fixed,9,0.2
electricity,solar,CSP,2095,OM-fixed,10.34,0.25
elect_td_bld,rooftop_pv,rooftop_pv,2095,OM-fixed,13.5,0.2
electricity,wind,wind,2100,OM-fixed,11.19,0.37
electricity,solar,PV,2100,OM-fixed,8.95,0.2
electricity,solar,CSP,2100,OM-fixed,10.31,0.25
elect_td_bld,rooftop_pv,rooftop_pv,2100,OM-fixed,13.43,0.2
