#INPUT_TABLE
#Variable ID
#GlobalTechLifetime
#
sector.name,subsector.name,technology,year,lifetime
electricity,biomass,biomass (conv CCS),2045,60
electricity,biomass,biomass (IGCC),2045,60
electricity,biomass,biomass (IGCC CCS),2045,60
electricity,nuclear,Gen_III,2045,60
electricity,wind,wind_storage,2045,30
electricity,solar,PV_storage,2045,30
electricity,solar,CSP_storage,2045,30
electricity,geothermal,geothermal,2045,30
electricity,coal,coal (conv pul),2050,60
electricity,coal,coal (conv pul CCS),2050,60
electricity,coal,coal (IGCC),2050,60
electricity,coal,coal (IGCC CCS),2050,60
electricity,gas,gas (steam/CT),2050,45
electricity,gas,gas (CC),2050,45
electricity,gas,gas (CC CCS),2050,45
electricity,refined liquids,refined liquids (steam/CT),2050,45
electricity,refined liquids,refined liquids (CC),2050,45
electricity,refined liquids,refined liquids (CC CCS),2050,45
electricity,biomass,biomass (conv),2050,60
electricity,biomass,biomass (conv CCS),2050,60
electricity,biomass,biomass (IGCC),2050,60
electricity,biomass,biomass (IGCC CCS),2050,60
electricity,nuclear,Gen_III,2050,60
electricity,wind,wind_storage,2050,30
electricity,solar,PV_storage,2050,30
electricity,solar,CSP_storage,2050,30
electricity,geothermal,geothermal,2050,30
electricity,coal,coal (conv pul),2055,60
electricity,coal,coal (conv pul CCS),2055,60
electricity,coal,coal (IGCC),2055,60
electricity,coal,coal (IGCC CCS),2055,60
electricity,gas,gas (steam/CT),2055,45
electricity,gas,gas (CC),2055,45
electricity,gas,gas (CC CCS),2055,45
electricity,refined liquids,refined liquids (steam/CT),2055,45
electricity,refined liquids,refined liquids (CC),2055,45
electricity,refined liquids,refined liquids (CC CCS),2055,45
electricity,biomass,biomass (conv),2055,60
electricity,biomass,biomass (conv CCS),2055,60
electricity,biomass,biomass (IGCC),2055,60
electricity,biomass,biomass (IGCC CCS),2055,60
electricity,nuclear,Gen_III,2055,60
electricity,wind,wind_storage,2055,30
electricity,solar,PV_storage,2055,30
electricity,solar,CSP_storage,2055,30
electricity,geothermal,geothermal,2055,30
electricity,coal,coal (conv pul),2060,60
electricity,coal,coal (conv pul CCS),2060,60
electricity,coal,coal (IGCC),2060,60
electricity,coal,coal (IGCC CCS),2060,60
electricity,gas,gas (steam/CT),2060,45
electricity,gas,gas (CC),2060,45
electricity,gas,gas (CC CCS),2060,45
electricity,refined liquids,refined liquids (steam/CT),2060,45
electricity,refined liquids,refined liquids (CC),2060,45
electricity,refined liquids,refined liquids (CC CCS),2060,45
electricity,biomass,biomass (conv),2060,60
electricity,biomass,biomass (conv CCS),2060,60
electricity,biomass,biomass (IGCC),2060,60
electricity,biomass,biomass (IGCC CCS),2060,60
electricity,nuclear,Gen_III,2060,60
electricity,wind,wind_storage,2060,30
electricity,solar,PV_storage,2060,30
electricity,solar,CSP_storage,2060,30
electricity,geothermal,geothermal,2060,30
electricity,coal,coal (conv pul),2065,60
electricity,coal,coal (conv pul CCS),2065,60
electricity,coal,coal (IGCC),2065,60
electricity,coal,coal (IGCC CCS),2065,60
electricity,gas,gas (steam/CT),2065,45
electricity,gas,gas (CC),2065,45
electricity,gas,gas (CC CCS),2065,45
electricity,refined liquids,refined liquids (steam/CT),2065,45
electricity,refined liquids,refined liquids (CC),2065,45
electricity,refined liquids,refined liquids (CC CCS),2065,45
electricity,biomass,biomass (conv),2065,60
electricity,biomass,biomass (conv CCS),2065,60
electricity,biomass,biomass (IGCC),2065,60
electricity,biomass,biomass (IGCC CCS),2065,60
electricity,nuclear,Gen_III,2065,60
electricity,wind,wind_storage,2065,30
electricity,solar,PV_storage,2065,30
electricity,solar,CSP_storage,2065,30
electricity,geothermal,geothermal,2065,30
electricity,coal,coal (conv pul),2070,60
electricity,coal,coal (conv pul CCS),2070,60
electricity,coal,coal (IGCC),2070,60
electricity,coal,coal (IGCC CCS),2070,60
electricity,gas,gas (steam/CT),2070,45
electricity,gas,gas (CC),2070,45
electricity,gas,gas (CC CCS),2070,45
electricity,refined liquids,refined liquids (steam/CT),2070,45
electricity,refined liquids,refined liquids (CC),2070,45
electricity,refined liquids,refined liquids (CC CCS),2070,45
electricity,biomass,biomass (conv),2070,60
electricity,biomass,biomass (conv CCS),2070,60
electricity,biomass,biomass (IGCC),2070,60
electricity,biomass,biomass (IGCC CCS),2070,60
electricity,nuclear,Gen_III,2070,60
electricity,wind,wind_storage,2070,30
electricity,solar,PV_storage,2070,30
electricity,solar,CSP_storage,2070,30
electricity,geothermal,geothermal,2070,30
electricity,coal,coal (conv pul),2075,60
electricity,coal,coal (conv pul CCS),2075,60
electricity,coal,coal (IGCC),2075,60
electricity,coal,coal (IGCC CCS),2075,60
electricity,gas,gas (steam/CT),2075,45
electricity,gas,gas (CC),2075,45
electricity,gas,gas (CC CCS),2075,45
electricity,refined liquids,refined liquids (steam/CT),2075,45
electricity,refined liquids,refined liquids (CC),2075,45
electricity,refined liquids,refined liquids (CC CCS),2075,45
electricity,biomass,biomass (conv),2075,60
electricity,biomass,biomass (conv CCS),2075,60
electricity,biomass,biomass (IGCC),2075,60
electricity,biomass,biomass (IGCC CCS),2075,60
electricity,nuclear,Gen_III,2075,60
electricity,wind,wind_storage,2075,30
electricity,solar,PV_storage,2075,30
electricity,solar,CSP_storage,2075,30
electricity,geothermal,geothermal,2075,30
electricity,coal,coal (conv pul),2080,60
electricity,coal,coal (conv pul CCS),2080,60
electricity,coal,coal (IGCC),2080,60
electricity,coal,coal (IGCC CCS),2080,60
electricity,gas,gas (steam/CT),2080,45
electricity,gas,gas (CC),2080,45
electricity,gas,gas (CC CCS),2080,45
electricity,refined liquids,refined liquids (steam/CT),2080,45
electricity,refined liquids,refined liquids (CC),2080,45
electricity,refined liquids,refined liquids (CC CCS),2080,45
electricity,biomass,biomass (conv),2080,60
electricity,biomass,biomass (conv CCS),2080,60
electricity,biomass,biomass (IGCC),2080,60
electricity,biomass,biomass (IGCC CCS),2080,60
electricity,nuclear,Gen_III,2080,60
electricity,wind,wind_storage,2080,30
electricity,solar,PV_storage,2080,30
electricity,solar,CSP_storage,2080,30
electricity,geothermal,geothermal,2080,30
electricity,coal,coal (conv pul),2085,60
electricity,coal,coal (conv pul CCS),2085,60
electricity,coal,coal (IGCC),2085,60
electricity,coal,coal (IGCC CCS),2085,60
electricity,gas,gas (steam/CT),2085,45
electricity,gas,gas (CC),2085,45
electricity,gas,gas (CC CCS),2085,45
electricity,refined liquids,refined liquids (steam/CT),2085,45
electricity,refined liquids,refined liquids (CC),2085,45
electricity,refined liquids,refined liquids (CC CCS),2085,45
electricity,biomass,biomass (conv),2085,60
electricity,biomass,biomass (conv CCS),2085,60
electricity,biomass,biomass (IGCC),2085,60
electricity,biomass,biomass (IGCC CCS),2085,60
electricity,nuclear,Gen_III,2085,60
electricity,wind,wind_storage,2085,30
electricity,solar,PV_storage,2085,30
electricity,solar,CSP_storage,2085,30
electricity,geothermal,geothermal,2085,30
electricity,coal,coal (conv pul),2090,60
electricity,coal,coal (conv pul CCS),2090,60
electricity,coal,coal (IGCC),2090,60
electricity,coal,coal (IGCC CCS),2090,60
electricity,gas,gas (steam/CT),2090,45
electricity,gas,gas (CC),2090,45
electricity,gas,gas (CC CCS),2090,45
electricity,refined liquids,refined liquids (steam/CT),2090,45
electricity,refined liquids,refined liquids (CC),2090,45
electricity,refined liquids,refined liquids (CC CCS),2090,45
electricity,biomass,biomass (conv),2090,60
electricity,biomass,biomass (conv CCS),2090,60
electricity,biomass,biomass (IGCC),2090,60
electricity,biomass,biomass (IGCC CCS),2090,60
electricity,nuclear,Gen_III,2090,60
electricity,wind,wind_storage,2090,30
electricity,solar,PV_storage,2090,30
electricity,solar,CSP_storage,2090,30
electricity,geothermal,geothermal,2090,30
electricity,coal,coal (conv pul),2095,60
electricity,coal,coal (conv pul CCS),2095,60
electricity,coal,coal (IGCC),2095,60
electricity,coal,coal (IGCC CCS),2095,60
electricity,gas,gas (steam/CT),2095,45
electricity,gas,gas (CC),2095,45
electricity,gas,gas (CC CCS),2095,45
electricity,refined liquids,refined liquids (steam/CT),2095,45
electricity,refined liquids,refined liquids (CC),2095,45
electricity,refined liquids,refined liquids (CC CCS),2095,45
electricity,biomass,biomass (conv),2095,60
electricity,biomass,biomass (conv CCS),2095,60
electricity,biomass,biomass (IGCC),2095,60
electricity,biomass,biomass (IGCC CCS),2095,60
electricity,nuclear,Gen_III,2095,60
electricity,wind,wind_storage,2095,30
electricity,solar,PV_storage,2095,30
electricity,solar,CSP_storage,2095,30
electricity,geothermal,geothermal,2095,30
electricity,coal,coal (conv pul),2100,60
electricity,coal,coal (conv pul CCS),2100,60
electricity,coal,coal (IGCC),2100,60
electricity,coal,coal (IGCC CCS),2100,60
electricity,gas,gas (steam/CT),2100,45
electricity,gas,gas (CC),2100,45
electricity,gas,gas (CC CCS),2100,45
electricity,refined liquids,refined liquids (steam/CT),2100,45
electricity,refined liquids,refined liquids (CC),2100,45
electricity,refined liquids,refined liquids (CC CCS),2100,45
electricity,biomass,biomass (conv),2100,60
electricity,biomass,biomass (conv CCS),2100,60
electricity,biomass,biomass (IGCC),2100,60
electricity,biomass,biomass (IGCC CCS),2100,60
electricity,nuclear,Gen_III,2100,60
electricity,wind,wind_storage,2100,30
electricity,solar,PV_storage,2100,30
electricity,solar,CSP_storage,2100,30
electricity,geothermal,geothermal,2100,30
