#INPUT_TABLE
#Variable ID
#GlobalTechCapital
#
sector.name,subsector.name,technology,year,input.capital,capital.overnight,fixed.charge.rate,capacity.factor
electricity,wind,wind_storage,2095,capital,1305,0.13,0.37
electricity,solar,PV_storage,2095,capital,990,0.13,0.2
electricity,solar,CSP_storage,2095,capital,1622,0.13,0.65
electricity,geothermal,geothermal,2095,capital,1175,0.13,0.9
electricity,coal,coal (conv pul),2100,capital,769,0.13,0.85
electricity,coal,coal (conv pul CCS),2100,capital,1313,0.13,0.8
electricity,coal,coal (IGCC),2100,capital,895,0.13,0.8
electricity,coal,coal (IGCC CCS),2100,capital,1383,0.13,0.8
electricity,gas,gas (steam/CT),2100,capital,199,0.13,0.8
electricity,gas,gas (CC),2100,capital,279,0.13,0.85
electricity,gas,gas (CC CCS),2100,capital,475,0.13,0.8
electricity,refined liquids,refined liquids (steam/CT),2100,capital,199,0.13,0.8
electricity,refined liquids,refined liquids (CC),2100,capital,279,0.13,0.85
electricity,refined liquids,refined liquids (CC CCS),2100,capital,550,0.13,0.8
electricity,biomass,biomass (conv),2100,capital,1061,0.13,0.85
electricity,biomass,biomass (conv CCS),2100,capital,1755,0.13,0.85
electricity,biomass,biomass (IGCC),2100,capital,1343,0.13,0.8
electricity,biomass,biomass (IGCC CCS),2100,capital,1877,0.13,0.8
electricity,nuclear,Gen_II_LWR,2100,capital,1704,0.13,0.9
electricity,nuclear,Gen_III,2100,capital,1459,0.13,0.9
electricity,wind,wind_storage,2100,capital,1298,0.13,0.37
electricity,solar,PV_storage,2100,capital,985,0.13,0.2
electricity,solar,CSP_storage,2100,capital,1616,0.13,0.65
electricity,geothermal,geothermal,2100,capital,1167,0.13,0.9
