#INPUT_TABLE
#Variable ID
#GlobalTechOMfixed
#
sector.name,subsector.name,technology,year,input.OM.fixed,OM.fixed,capacity.factor
electricity,coal,coal (conv pul),2095,OM-fixed,6.68,0.85
electricity,coal,coal (conv pul CCS),2095,OM-fixed,11.37,0.8
electricity,coal,coal (IGCC),2095,OM-fixed,7.88,0.8
electricity,coal,coal (IGCC CCS),2095,OM-fixed,14.45,0.8
electricity,gas,gas (steam/CT),2095,OM-fixed,1.6,0.8
electricity,gas,gas (CC),2095,OM-fixed,2.67,0.85
electricity,gas,gas (CC CCS),2095,OM-fixed,4.55,0.8
electricity,refined liquids,refined liquids (steam/CT),2095,OM-fixed,1.6,0.8
electricity,refined liquids,refined liquids (CC),2095,OM-fixed,2.67,0.85
electricity,refined liquids,refined liquids (CC CCS),2095,OM-fixed,5.26,0.8
electricity,biomass,biomass (conv),2095,OM-fixed,25.37,0.85
electricity,biomass,biomass (conv CCS),2095,OM-fixed,29.33,0.8
electricity,biomass,biomass (IGCC),2095,OM-fixed,31.5,0.8
electricity,biomass,biomass (IGCC CCS),2095,OM-fixed,37.04,0.8
electricity,nuclear,Gen_II_LWR,2095,OM-fixed,32.53,0.9
electricity,nuclear,Gen_III,2095,OM-fixed,25.37,0.9
electricity,wind,wind_storage,2095,OM-fixed,13.5,0.37
electricity,solar,PV_storage,2095,OM-fixed,10.8,0.2
electricity,solar,CSP_storage,2095,OM-fixed,12.59,0.65
electricity,geothermal,geothermal,2095,OM-fixed,26.7,0.9
electricity,coal,coal (conv pul),2100,OM-fixed,6.63,0.85
electricity,coal,coal (conv pul CCS),2100,OM-fixed,11.32,0.8
electricity,coal,coal (IGCC),2100,OM-fixed,7.84,0.8
electricity,coal,coal (IGCC CCS),2100,OM-fixed,14.4,0.8
electricity,gas,gas (steam/CT),2100,OM-fixed,1.59,0.8
electricity,gas,gas (CC),2100,OM-fixed,2.65,0.85
electricity,gas,gas (CC CCS),2100,OM-fixed,4.53,0.8
electricity,refined liquids,refined liquids (steam/CT),2100,OM-fixed,1.59,0.8
electricity,refined liquids,refined liquids (CC),2100,OM-fixed,2.65,0.85
electricity,refined liquids,refined liquids (CC CCS),2100,OM-fixed,5.24,0.8
electricity,biomass,biomass (conv),2100,OM-fixed,25.21,0.85
electricity,biomass,biomass (conv CCS),2100,OM-fixed,29.16,0.8
electricity,biomass,biomass (IGCC),2100,OM-fixed,31.34,0.8
electricity,biomass,biomass (IGCC CCS),2100,OM-fixed,36.87,0.8
electricity,nuclear,Gen_II_LWR,2100,OM-fixed,32.53,0.9
electricity,nuclear,Gen_III,2100,OM-fixed,25.21,0.9
electricity,wind,wind_storage,2100,OM-fixed,13.43,0.37
electricity,solar,PV_storage,2100,OM-fixed,10.75,0.2
electricity,solar,CSP_storage,2100,OM-fixed,12.55,0.65
electricity,geothermal,geothermal,2100,OM-fixed,26.53,0.9
