#INPUT_TABLE
#Variable ID
#StubTechEff
#
region,supplysector,subsector,stub.technology,year,minicam.energy.input,efficiency,market.name
Africa_Eastern,electricity,biomass,biomass (conv),2005,regional biomass,0.2986407,Africa_Eastern
Africa_Northern,electricity,biomass,biomass (conv),2005,regional biomass,0.33,Africa_Northern
Africa_Southern,electricity,biomass,biomass (conv),2005,regional biomass,0.33,Africa_Southern
Africa_Western,electricity,biomass,biomass (conv),2005,regional biomass,0.1305372,Africa_Western
Australia_NZ,electricity,biomass,biomass (conv),2005,regional biomass,0.1529719,Australia_NZ
Brazil,electricity,biomass,biomass (conv),2005,regional biomass,0.426117,Brazil
Canada,electricity,biomass,biomass (conv),2005,regional biomass,0.3717489,Canada
Central America and Caribbean,electricity,biomass,biomass (conv),2005,regional biomass,0.1329665,Central America and Caribbean
Central Asia,electricity,biomass,biomass (conv),2005,regional biomass,0.33,Central Asia
China,electricity,biomass,biomass (conv),2005,regional biomass,0.2502035,China
EU-12,electricity,biomass,biomass (conv),2005,regional biomass,0.2698514,EU-12
EU-15,electricity,biomass,biomass (conv),2005,regional biomass,0.2479238,EU-15
Europe_Eastern,electricity,biomass,biomass (conv),2005,regional biomass,0.33,Europe_Eastern
Europe_Non_EU,electricity,biomass,biomass (conv),2005,regional biomass,0.3096034,Europe_Non_EU
European Free Trade Association,electricity,biomass,biomass (conv),2005,regional biomass,0.2285284,European Free Trade Association
India,electricity,biomass,biomass (conv),2005,regional biomass,0.1500724,India
Indonesia,electricity,biomass,biomass (conv),2005,regional biomass,0.2102246,Indonesia
Japan,electricity,biomass,biomass (conv),2005,regional biomass,0.4430583,Japan
Mexico,electricity,biomass,biomass (conv),2005,regional biomass,0.2343103,Mexico
Middle East,electricity,biomass,biomass (conv),2005,regional biomass,0.33,Middle East
Pakistan,electricity,biomass,biomass (conv),2005,regional biomass,0.33,Pakistan
Russia,electricity,biomass,biomass (conv),2005,regional biomass,0.33,Russia
South Africa,electricity,biomass,biomass (conv),2005,regional biomass,0.2504423,South Africa
South America_Northern,electricity,biomass,biomass (conv),2005,regional biomass,0.1594927,South America_Northern
South America_Southern,electricity,biomass,biomass (conv),2005,regional biomass,0.2387899,South America_Southern
South Asia,electricity,biomass,biomass (conv),2005,regional biomass,0.086001,South Asia
South Korea,electricity,biomass,biomass (conv),2005,regional biomass,0.3870043,South Korea
Southeast Asia,electricity,biomass,biomass (conv),2005,regional biomass,0.1396264,Southeast Asia
Taiwan,electricity,biomass,biomass (conv),2005,regional biomass,0.2498666,Taiwan
Argentina,electricity,biomass,biomass (conv),2005,regional biomass,0.1903251,Argentina
Colombia,electricity,biomass,biomass (conv),2005,regional biomass,0.3180771,Colombia
USA,electricity,coal,coal (conv pul),2005,regional coal,0.3678413,USA
Africa_Eastern,electricity,coal,coal (conv pul),2005,regional coal,0.3493643,Africa_Eastern
Africa_Northern,electricity,coal,coal (conv pul),2005,regional coal,0.3629149,Africa_Northern
Africa_Southern,electricity,coal,coal (conv pul),2005,regional coal,0.2339175,Africa_Southern
Africa_Western,electricity,coal,coal (conv pul),2005,regional coal,0.3493643,Africa_Western
Australia_NZ,electricity,coal,coal (conv pul),2005,regional coal,0.3469775,Australia_NZ
Brazil,electricity,coal,coal (conv pul),2005,regional coal,0.3212178,Brazil
Canada,electricity,coal,coal (conv pul),2005,regional coal,0.379442,Canada
Central America and Caribbean,electricity,coal,coal (conv pul),2005,regional coal,0.3503158,Central America and Caribbean
Central Asia,electricity,coal,coal (conv pul),2005,regional coal,0.2337257,Central Asia
China,electricity,coal,coal (conv pul),2005,regional coal,0.3235407,China
EU-12,electricity,coal,coal (conv pul),2005,regional coal,0.3212283,EU-12
EU-15,electricity,coal,coal (conv pul),2005,regional coal,0.3781997,EU-15
Europe_Eastern,electricity,coal,coal (conv pul),2005,regional coal,0.3093029,Europe_Eastern
Europe_Non_EU,electricity,coal,coal (conv pul),2005,regional coal,0.3386805,Europe_Non_EU
European Free Trade Association,electricity,coal,coal (conv pul),2005,regional coal,0.4054331,European Free Trade Association
India,electricity,coal,coal (conv pul),2005,regional coal,0.2668402,India
Indonesia,electricity,coal,coal (conv pul),2005,regional coal,0.3315159,Indonesia
Japan,electricity,coal,coal (conv pul),2005,regional coal,0.4157366,Japan
Mexico,electricity,coal,coal (conv pul),2005,regional coal,0.3565038,Mexico
Middle East,electricity,coal,coal (conv pul),2005,regional coal,0.4147335,Middle East
Pakistan,electricity,coal,coal (conv pul),2005,regional coal,0.1440795,Pakistan
Russia,electricity,coal,coal (conv pul),2005,regional coal,0.2521124,Russia
South Africa,electricity,coal,coal (conv pul),2005,regional coal,0.3709792,South Africa
South America_Northern,electricity,coal,coal (conv pul),2005,regional coal,0.33,South America_Northern
South America_Southern,electricity,coal,coal (conv pul),2005,regional coal,0.3544389,South America_Southern
South Asia,electricity,coal,coal (conv pul),2005,regional coal,0.3165067,South Asia
South Korea,electricity,coal,coal (conv pul),2005,regional coal,0.355501,South Korea
Southeast Asia,electricity,coal,coal (conv pul),2005,regional coal,0.3207892,Southeast Asia
Taiwan,electricity,coal,coal (conv pul),2005,regional coal,0.3610285,Taiwan
Argentina,electricity,coal,coal (conv pul),2005,regional coal,0.2167224,Argentina
Colombia,electricity,coal,coal (conv pul),2005,regional coal,0.3173937,Colombia
USA,electricity,gas,gas (CC),2005,wholesale gas,0.5,USA
Africa_Eastern,electricity,gas,gas (CC),2005,wholesale gas,0.5,Africa_Eastern
Africa_Northern,electricity,gas,gas (CC),2005,wholesale gas,0.5,Africa_Northern
Africa_Southern,electricity,gas,gas (CC),2005,wholesale gas,0.5,Africa_Southern
Africa_Western,electricity,gas,gas (CC),2005,wholesale gas,0.5,Africa_Western
Australia_NZ,electricity,gas,gas (CC),2005,wholesale gas,0.5,Australia_NZ
Brazil,electricity,gas,gas (CC),2005,wholesale gas,0.5,Brazil
Canada,electricity,gas,gas (CC),2005,wholesale gas,0.5,Canada
Central America and Caribbean,electricity,gas,gas (CC),2005,wholesale gas,0.5,Central America and Caribbean
Central Asia,electricity,gas,gas (CC),2005,wholesale gas,0.5,Central Asia
China,electricity,gas,gas (CC),2005,wholesale gas,0.5,China
EU-12,electricity,gas,gas (CC),2005,wholesale gas,0.5,EU-12
EU-15,electricity,gas,gas (CC),2005,wholesale gas,0.5,EU-15
Europe_Eastern,electricity,gas,gas (CC),2005,wholesale gas,0.5,Europe_Eastern
Europe_Non_EU,electricity,gas,gas (CC),2005,wholesale gas,0.5352319,Europe_Non_EU
European Free Trade Association,electricity,gas,gas (CC),2005,wholesale gas,0.5,European Free Trade Association
India,electricity,gas,gas (CC),2005,wholesale gas,0.5436304,India
Indonesia,electricity,gas,gas (CC),2005,wholesale gas,0.5,Indonesia
Japan,electricity,gas,gas (CC),2005,wholesale gas,0.5,Japan
Mexico,electricity,gas,gas (CC),2005,wholesale gas,0.5,Mexico
Middle East,electricity,gas,gas (CC),2005,wholesale gas,0.5,Middle East
Pakistan,electricity,gas,gas (CC),2005,wholesale gas,0.5,Pakistan
Russia,electricity,gas,gas (CC),2005,wholesale gas,0.5,Russia
South Africa,electricity,gas,gas (CC),2005,wholesale gas,0.5,South Africa
South America_Northern,electricity,gas,gas (CC),2005,wholesale gas,0.5,South America_Northern
South America_Southern,electricity,gas,gas (CC),2005,wholesale gas,0.5,South America_Southern
South Asia,electricity,gas,gas (CC),2005,wholesale gas,0.5,South Asia
South Korea,electricity,gas,gas (CC),2005,wholesale gas,0.5,South Korea
Southeast Asia,electricity,gas,gas (CC),2005,wholesale gas,0.5,Southeast Asia
Taiwan,electricity,gas,gas (CC),2005,wholesale gas,0.5,Taiwan
Argentina,electricity,gas,gas (CC),2005,wholesale gas,0.5,Argentina
Colombia,electricity,gas,gas (CC),2005,wholesale gas,0.5,Colombia
USA,electricity,gas,gas (steam/CT),2005,wholesale gas,0.33,USA
Africa_Eastern,electricity,gas,gas (steam/CT),2005,wholesale gas,0.33,Africa_Eastern
Africa_Northern,electricity,gas,gas (steam/CT),2005,wholesale gas,0.33,Africa_Northern
Africa_Southern,electricity,gas,gas (steam/CT),2005,wholesale gas,0.33,Africa_Southern
Africa_Western,electricity,gas,gas (steam/CT),2005,wholesale gas,0.33,Africa_Western
Australia_NZ,electricity,gas,gas (steam/CT),2005,wholesale gas,0.33,Australia_NZ
Brazil,electricity,gas,gas (steam/CT),2005,wholesale gas,0.33,Brazil
Canada,electricity,gas,gas (steam/CT),2005,wholesale gas,0.33,Canada
Central America and Caribbean,electricity,gas,gas (steam/CT),2005,wholesale gas,0.3248498,Central America and Caribbean
Central Asia,electricity,gas,gas (steam/CT),2005,wholesale gas,0.2690318,Central Asia
China,electricity,gas,gas (steam/CT),2005,wholesale gas,0.33,China
EU-12,electricity,gas,gas (steam/CT),2005,wholesale gas,0.2901365,EU-12
EU-15,electricity,gas,gas (steam/CT),2005,wholesale gas,0.33,EU-15
Europe_Eastern,electricity,gas,gas (steam/CT),2005,wholesale gas,0.2865701,Europe_Eastern
Europe_Non_EU,electricity,gas,gas (steam/CT),2005,wholesale gas,0.33,Europe_Non_EU
European Free Trade Association,electricity,gas,gas (steam/CT),2005,wholesale gas,0.33,European Free Trade Association
India,electricity,gas,gas (steam/CT),2005,wholesale gas,0.33,India
Indonesia,electricity,gas,gas (steam/CT),2005,wholesale gas,0.33,Indonesia
Japan,electricity,gas,gas (steam/CT),2005,wholesale gas,0.33,Japan
Mexico,electricity,gas,gas (steam/CT),2005,wholesale gas,0.33,Mexico
Middle East,electricity,gas,gas (steam/CT),2005,wholesale gas,0.3218313,Middle East
Pakistan,electricity,gas,gas (steam/CT),2005,wholesale gas,0.33,Pakistan
Russia,electricity,gas,gas (steam/CT),2005,wholesale gas,0.2780538,Russia
South Africa,electricity,gas,gas (steam/CT),2005,wholesale gas,0.33,South Africa
South America_Northern,electricity,gas,gas (steam/CT),2005,wholesale gas,0.3128591,South America_Northern
South America_Southern,electricity,gas,gas (steam/CT),2005,wholesale gas,0.33,South America_Southern
South Asia,electricity,gas,gas (steam/CT),2005,wholesale gas,0.33,South Asia
South Korea,electricity,gas,gas (steam/CT),2005,wholesale gas,0.33,South Korea
Southeast Asia,electricity,gas,gas (steam/CT),2005,wholesale gas,0.33,Southeast Asia
Taiwan,electricity,gas,gas (steam/CT),2005,wholesale gas,0.33,Taiwan
Argentina,electricity,gas,gas (steam/CT),2005,wholesale gas,0.33,Argentina
Colombia,electricity,gas,gas (steam/CT),2005,wholesale gas,0.33,Colombia
USA,electricity,refined liquids,refined liquids (steam/CT),2005,refined liquids industrial,0.3746958,USA
Africa_Eastern,electricity,refined liquids,refined liquids (steam/CT),2005,refined liquids industrial,0.3335631,Africa_Eastern
Africa_Northern,electricity,refined liquids,refined liquids (steam/CT),2005,refined liquids industrial,0.3013237,Africa_Northern
Africa_Southern,electricity,refined liquids,refined liquids (steam/CT),2005,refined liquids industrial,0.2715232,Africa_Southern
Africa_Western,electricity,refined liquids,refined liquids (steam/CT),2005,refined liquids industrial,0.3398515,Africa_Western
Australia_NZ,electricity,refined liquids,refined liquids (steam/CT),2005,refined liquids industrial,0.31817,Australia_NZ
Brazil,electricity,refined liquids,refined liquids (steam/CT),2005,refined liquids industrial,0.3486009,Brazil
Canada,electricity,refined liquids,refined liquids (steam/CT),2005,refined liquids industrial,0.4043443,Canada
Central America and Caribbean,electricity,refined liquids,refined liquids (steam/CT),2005,refined liquids industrial,0.4489546,Central America and Caribbean
Central Asia,electricity,refined liquids,refined liquids (steam/CT),2005,refined liquids industrial,0.2704894,Central Asia
China,electricity,refined liquids,refined liquids (steam/CT),2005,refined liquids industrial,0.3416805,China
EU-12,electricity,refined liquids,refined liquids (steam/CT),2005,refined liquids industrial,0.2769107,EU-12
EU-15,electricity,refined liquids,refined liquids (steam/CT),2005,refined liquids industrial,0.3492985,EU-15
Europe_Eastern,electricity,refined liquids,refined liquids (steam/CT),2005,refined liquids industrial,0.2775234,Europe_Eastern
Europe_Non_EU,electricity,refined liquids,refined liquids (steam/CT),2005,refined liquids industrial,0.3517212,Europe_Non_EU
European Free Trade Association,electricity,refined liquids,refined liquids (steam/CT),2005,refined liquids industrial,0.418538,European Free Trade Association
India,electricity,refined liquids,refined liquids (steam/CT),2005,refined liquids industrial,0.2490855,India
Indonesia,electricity,refined liquids,refined liquids (steam/CT),2005,refined liquids industrial,0.360278,Indonesia
Japan,electricity,refined liquids,refined liquids (steam/CT),2005,refined liquids industrial,0.4343156,Japan
Mexico,electricity,refined liquids,refined liquids (steam/CT),2005,refined liquids industrial,0.3575877,Mexico
Middle East,electricity,refined liquids,refined liquids (steam/CT),2005,refined liquids industrial,0.3132323,Middle East
Pakistan,electricity,refined liquids,refined liquids (steam/CT),2005,refined liquids industrial,0.3980884,Pakistan
Russia,electricity,refined liquids,refined liquids (steam/CT),2005,refined liquids industrial,0.2759557,Russia
South Africa,electricity,refined liquids,refined liquids (steam/CT),2005,refined liquids industrial,0.33,South Africa
South America_Northern,electricity,refined liquids,refined liquids (steam/CT),2005,refined liquids industrial,0.4712049,South America_Northern
South America_Southern,electricity,refined liquids,refined liquids (steam/CT),2005,refined liquids industrial,0.2781084,South America_Southern
South Asia,electricity,refined liquids,refined liquids (steam/CT),2005,refined liquids industrial,0.3321665,South Asia
South Korea,electricity,refined liquids,refined liquids (steam/CT),2005,refined liquids industrial,0.3595363,South Korea
Southeast Asia,electricity,refined liquids,refined liquids (steam/CT),2005,refined liquids industrial,0.3369823,Southeast Asia
Taiwan,electricity,refined liquids,refined liquids (steam/CT),2005,refined liquids industrial,0.3881703,Taiwan
Argentina,electricity,refined liquids,refined liquids (steam/CT),2005,refined liquids industrial,0.3378315,Argentina
Colombia,electricity,refined liquids,refined liquids (steam/CT),2005,refined liquids industrial,0.3063784,Colombia
USA,electricity,biomass,biomass (conv),2010,regional biomass,0.2246604,USA
Africa_Eastern,electricity,biomass,biomass (conv),2010,regional biomass,0.2986407,Africa_Eastern
Africa_Northern,electricity,biomass,biomass (conv),2010,regional biomass,0.33,Africa_Northern
Africa_Southern,electricity,biomass,biomass (conv),2010,regional biomass,0.33,Africa_Southern
Africa_Western,electricity,biomass,biomass (conv),2010,regional biomass,0.1608148,Africa_Western
Australia_NZ,electricity,biomass,biomass (conv),2010,regional biomass,0.1559484,Australia_NZ
Brazil,electricity,biomass,biomass (conv),2010,regional biomass,0.4670805,Brazil
Canada,electricity,biomass,biomass (conv),2010,regional biomass,0.3707894,Canada
Central America and Caribbean,electricity,biomass,biomass (conv),2010,regional biomass,0.1476586,Central America and Caribbean
Central Asia,electricity,biomass,biomass (conv),2010,regional biomass,0.33,Central Asia
China,electricity,biomass,biomass (conv),2010,regional biomass,0.2501088,China
EU-12,electricity,biomass,biomass (conv),2010,regional biomass,0.2890156,EU-12
EU-15,electricity,biomass,biomass (conv),2010,regional biomass,0.2426037,EU-15
Europe_Eastern,electricity,biomass,biomass (conv),2010,regional biomass,0.0996519,Europe_Eastern
Europe_Non_EU,electricity,biomass,biomass (conv),2010,regional biomass,0.2846222,Europe_Non_EU
European Free Trade Association,electricity,biomass,biomass (conv),2010,regional biomass,0.2039882,European Free Trade Association
India,electricity,biomass,biomass (conv),2010,regional biomass,0.1499186,India
Indonesia,electricity,biomass,biomass (conv),2010,regional biomass,0.1992705,Indonesia
Japan,electricity,biomass,biomass (conv),2010,regional biomass,0.4732676,Japan
Mexico,electricity,biomass,biomass (conv),2010,regional biomass,0.2041732,Mexico
Middle East,electricity,biomass,biomass (conv),2010,regional biomass,0.1720019,Middle East
Pakistan,electricity,biomass,biomass (conv),2010,regional biomass,0.33,Pakistan
Russia,electricity,biomass,biomass (conv),2010,regional biomass,0.33,Russia
South Africa,electricity,biomass,biomass (conv),2010,regional biomass,0.2491368,South Africa
South America_Northern,electricity,biomass,biomass (conv),2010,regional biomass,0.1614404,South America_Northern
South America_Southern,electricity,biomass,biomass (conv),2010,regional biomass,0.2513992,South America_Southern
South Asia,electricity,biomass,biomass (conv),2010,regional biomass,0.33,South Asia
South Korea,electricity,biomass,biomass (conv),2010,regional biomass,0.3381401,South Korea
Southeast Asia,electricity,biomass,biomass (conv),2010,regional biomass,0.158014,Southeast Asia
Taiwan,electricity,biomass,biomass (conv),2010,regional biomass,0.2500601,Taiwan
Argentina,electricity,biomass,biomass (conv),2010,regional biomass,0.2585919,Argentina
Colombia,electricity,biomass,biomass (conv),2010,regional biomass,0.3202573,Colombia
USA,electricity,coal,coal (conv pul),2010,regional coal,0.3693908,USA
Africa_Eastern,electricity,coal,coal (conv pul),2010,regional coal,0.3491866,Africa_Eastern
Africa_Northern,electricity,coal,coal (conv pul),2010,regional coal,0.3447834,Africa_Northern
Africa_Southern,electricity,coal,coal (conv pul),2010,regional coal,0.2364229,Africa_Southern
Africa_Western,electricity,coal,coal (conv pul),2010,regional coal,0.3491866,Africa_Western
Australia_NZ,electricity,coal,coal (conv pul),2010,regional coal,0.3453771,Australia_NZ
Brazil,electricity,coal,coal (conv pul),2010,regional coal,0.3050935,Brazil
Canada,electricity,coal,coal (conv pul),2010,regional coal,0.3696776,Canada
Central America and Caribbean,electricity,coal,coal (conv pul),2010,regional coal,0.3500904,Central America and Caribbean
Central Asia,electricity,coal,coal (conv pul),2010,regional coal,0.3004523,Central Asia
China,electricity,coal,coal (conv pul),2010,regional coal,0.3543458,China
EU-12,electricity,coal,coal (conv pul),2010,regional coal,0.3211145,EU-12
EU-15,electricity,coal,coal (conv pul),2010,regional coal,0.3758889,EU-15
Europe_Eastern,electricity,coal,coal (conv pul),2010,regional coal,0.3385835,Europe_Eastern
Europe_Non_EU,electricity,coal,coal (conv pul),2010,regional coal,0.3267497,Europe_Non_EU
European Free Trade Association,electricity,coal,coal (conv pul),2010,regional coal,0.2463811,European Free Trade Association
India,electricity,coal,coal (conv pul),2010,regional coal,0.278752,India
Indonesia,electricity,coal,coal (conv pul),2010,regional coal,0.3127199,Indonesia
Japan,electricity,coal,coal (conv pul),2010,regional coal,0.4248631,Japan
Mexico,electricity,coal,coal (conv pul),2010,regional coal,0.3636765,Mexico
Middle East,electricity,coal,coal (conv pul),2010,regional coal,0.3952826,Middle East
Pakistan,electricity,coal,coal (conv pul),2010,regional coal,0.1401497,Pakistan
Russia,electricity,coal,coal (conv pul),2010,regional coal,0.3240683,Russia
South Africa,electricity,coal,coal (conv pul),2010,regional coal,0.3397617,South Africa
South America_Northern,electricity,coal,coal (conv pul),2010,regional coal,0.33,South America_Northern
South America_Southern,electricity,coal,coal (conv pul),2010,regional coal,0.3687866,South America_Southern
South Asia,electricity,coal,coal (conv pul),2010,regional coal,0.2681184,South Asia
South Korea,electricity,coal,coal (conv pul),2010,regional coal,0.3659257,South Korea
Southeast Asia,electricity,coal,coal (conv pul),2010,regional coal,0.3258021,Southeast Asia
Taiwan,electricity,coal,coal (conv pul),2010,regional coal,0.3619328,Taiwan
Argentina,electricity,coal,coal (conv pul),2010,regional coal,0.2402022,Argentina
Colombia,electricity,coal,coal (conv pul),2010,regional coal,0.309241,Colombia
USA,electricity,gas,gas (CC),2010,wholesale gas,0.5760803,USA
Africa_Eastern,electricity,gas,gas (CC),2010,wholesale gas,0.5760803,Africa_Eastern
Africa_Northern,electricity,gas,gas (CC),2010,wholesale gas,0.5760803,Africa_Northern
Africa_Southern,electricity,gas,gas (CC),2010,wholesale gas,0.5760803,Africa_Southern
Africa_Western,electricity,gas,gas (CC),2010,wholesale gas,0.5760803,Africa_Western
Australia_NZ,electricity,gas,gas (CC),2010,wholesale gas,0.5760803,Australia_NZ
Brazil,electricity,gas,gas (CC),2010,wholesale gas,0.5760803,Brazil
Canada,electricity,gas,gas (CC),2010,wholesale gas,0.5760803,Canada
Central America and Caribbean,electricity,gas,gas (CC),2010,wholesale gas,0.5760803,Central America and Caribbean
Central Asia,electricity,gas,gas (CC),2010,wholesale gas,0.5760803,Central Asia
China,electricity,gas,gas (CC),2010,wholesale gas,0.5760803,China
EU-12,electricity,gas,gas (CC),2010,wholesale gas,0.5760803,EU-12
EU-15,electricity,gas,gas (CC),2010,wholesale gas,0.5760803,EU-15
Europe_Eastern,electricity,gas,gas (CC),2010,wholesale gas,0.5760803,Europe_Eastern
Europe_Non_EU,electricity,gas,gas (CC),2010,wholesale gas,0.5760803,Europe_Non_EU
European Free Trade Association,electricity,gas,gas (CC),2010,wholesale gas,0.5760803,European Free Trade Association
India,electricity,gas,gas (CC),2010,wholesale gas,0.5760803,India
Indonesia,electricity,gas,gas (CC),2010,wholesale gas,0.5760803,Indonesia
Japan,electricity,gas,gas (CC),2010,wholesale gas,0.5760803,Japan
Mexico,electricity,gas,gas (CC),2010,wholesale gas,0.5760803,Mexico
Middle East,electricity,gas,gas (CC),2010,wholesale gas,0.5760803,Middle East
Pakistan,electricity,gas,gas (CC),2010,wholesale gas,0.5760803,Pakistan
Russia,electricity,gas,gas (CC),2010,wholesale gas,0.5760803,Russia
South Africa,electricity,gas,gas (CC),2010,wholesale gas,0.5760803,South Africa
South America_Northern,electricity,gas,gas (CC),2010,wholesale gas,0.5760803,South America_Northern
South America_Southern,electricity,gas,gas (CC),2010,wholesale gas,0.5760803,South America_Southern
South Asia,electricity,gas,gas (CC),2010,wholesale gas,0.5760803,South Asia
South Korea,electricity,gas,gas (CC),2010,wholesale gas,0.5760803,South Korea
Southeast Asia,electricity,gas,gas (CC),2010,wholesale gas,0.5760803,Southeast Asia
Taiwan,electricity,gas,gas (CC),2010,wholesale gas,0.5760803,Taiwan
Argentina,electricity,gas,gas (CC),2010,wholesale gas,0.5760803,Argentina
Colombia,electricity,gas,gas (CC),2010,wholesale gas,0.5760803,Colombia
USA,electricity,gas,gas (steam/CT),2010,wholesale gas,0.3766679,USA
Africa_Eastern,electricity,gas,gas (steam/CT),2010,wholesale gas,0.3766679,Africa_Eastern
Africa_Northern,electricity,gas,gas (steam/CT),2010,wholesale gas,0.3766679,Africa_Northern
Africa_Southern,electricity,gas,gas (steam/CT),2010,wholesale gas,0.2698106,Africa_Southern
Africa_Western,electricity,gas,gas (steam/CT),2010,wholesale gas,0.3766679,Africa_Western
Australia_NZ,electricity,gas,gas (steam/CT),2010,wholesale gas,0.3766679,Australia_NZ
Brazil,electricity,gas,gas (steam/CT),2010,wholesale gas,0.3766679,Brazil
Canada,electricity,gas,gas (steam/CT),2010,wholesale gas,0.3766679,Canada
Central America and Caribbean,electricity,gas,gas (steam/CT),2010,wholesale gas,0.3408172,Central America and Caribbean
Central Asia,electricity,gas,gas (steam/CT),2010,wholesale gas,0.2776763,Central Asia
China,electricity,gas,gas (steam/CT),2010,wholesale gas,0.3766679,China
EU-12,electricity,gas,gas (steam/CT),2010,wholesale gas,0.3158122,EU-12
EU-15,electricity,gas,gas (steam/CT),2010,wholesale gas,0.3766679,EU-15
Europe_Eastern,electricity,gas,gas (steam/CT),2010,wholesale gas,0.2779362,Europe_Eastern
Europe_Non_EU,electricity,gas,gas (steam/CT),2010,wholesale gas,0.3766679,Europe_Non_EU
European Free Trade Association,electricity,gas,gas (steam/CT),2010,wholesale gas,0.3766679,European Free Trade Association
India,electricity,gas,gas (steam/CT),2010,wholesale gas,0.3766679,India
Indonesia,electricity,gas,gas (steam/CT),2010,wholesale gas,0.3766679,Indonesia
Japan,electricity,gas,gas (steam/CT),2010,wholesale gas,0.3766679,Japan
Mexico,electricity,gas,gas (steam/CT),2010,wholesale gas,0.3766679,Mexico
Middle East,electricity,gas,gas (steam/CT),2010,wholesale gas,0.3671237,Middle East
Pakistan,electricity,gas,gas (steam/CT),2010,wholesale gas,0.3607746,Pakistan
Russia,electricity,gas,gas (steam/CT),2010,wholesale gas,0.2923228,Russia
South Africa,electricity,gas,gas (steam/CT),2010,wholesale gas,0.33,South Africa
South America_Northern,electricity,gas,gas (steam/CT),2010,wholesale gas,0.3361373,South America_Northern
South America_Southern,electricity,gas,gas (steam/CT),2010,wholesale gas,0.3766679,South America_Southern
South Asia,electricity,gas,gas (steam/CT),2010,wholesale gas,0.3484123,South Asia
South Korea,electricity,gas,gas (steam/CT),2010,wholesale gas,0.3766679,South Korea
Southeast Asia,electricity,gas,gas (steam/CT),2010,wholesale gas,0.3766679,Southeast Asia
Taiwan,electricity,gas,gas (steam/CT),2010,wholesale gas,0.3766679,Taiwan
Argentina,electricity,gas,gas (steam/CT),2010,wholesale gas,0.3766679,Argentina
Colombia,electricity,gas,gas (steam/CT),2010,wholesale gas,0.3766679,Colombia
USA,electricity,refined liquids,refined liquids (steam/CT),2010,refined liquids industrial,0.3769771,USA
Africa_Eastern,electricity,refined liquids,refined liquids (steam/CT),2010,refined liquids industrial,0.3632497,Africa_Eastern
Africa_Northern,electricity,refined liquids,refined liquids (steam/CT),2010,refined liquids industrial,0.362515,Africa_Northern
Africa_Southern,electricity,refined liquids,refined liquids (steam/CT),2010,refined liquids industrial,0.2346153,Africa_Southern
Africa_Western,electricity,refined liquids,refined liquids (steam/CT),2010,refined liquids industrial,0.323669,Africa_Western
Australia_NZ,electricity,refined liquids,refined liquids (steam/CT),2010,refined liquids industrial,0.3185258,Australia_NZ
Brazil,electricity,refined liquids,refined liquids (steam/CT),2010,refined liquids industrial,0.3688215,Brazil
Canada,electricity,refined liquids,refined liquids (steam/CT),2010,refined liquids industrial,0.3480028,Canada
Central America and Caribbean,electricity,refined liquids,refined liquids (steam/CT),2010,refined liquids industrial,0.4067681,Central America and Caribbean
Central Asia,electricity,refined liquids,refined liquids (steam/CT),2010,refined liquids industrial,0.2673183,Central Asia
China,electricity,refined liquids,refined liquids (steam/CT),2010,refined liquids industrial,0.3492914,China
EU-12,electricity,refined liquids,refined liquids (steam/CT),2010,refined liquids industrial,0.310931,EU-12
EU-15,electricity,refined liquids,refined liquids (steam/CT),2010,refined liquids industrial,0.3434575,EU-15
Europe_Eastern,electricity,refined liquids,refined liquids (steam/CT),2010,refined liquids industrial,0.3094625,Europe_Eastern
Europe_Non_EU,electricity,refined liquids,refined liquids (steam/CT),2010,refined liquids industrial,0.3300221,Europe_Non_EU
European Free Trade Association,electricity,refined liquids,refined liquids (steam/CT),2010,refined liquids industrial,0.4873387,European Free Trade Association
India,electricity,refined liquids,refined liquids (steam/CT),2010,refined liquids industrial,0.2020751,India
Indonesia,electricity,refined liquids,refined liquids (steam/CT),2010,refined liquids industrial,0.3496069,Indonesia
Japan,electricity,refined liquids,refined liquids (steam/CT),2010,refined liquids industrial,0.4648602,Japan
Mexico,electricity,refined liquids,refined liquids (steam/CT),2010,refined liquids industrial,0.374666,Mexico
Middle East,electricity,refined liquids,refined liquids (steam/CT),2010,refined liquids industrial,0.2849898,Middle East
Pakistan,electricity,refined liquids,refined liquids (steam/CT),2010,refined liquids industrial,0.3596984,Pakistan
Russia,electricity,refined liquids,refined liquids (steam/CT),2010,refined liquids industrial,0.2730626,Russia
South Africa,electricity,refined liquids,refined liquids (steam/CT),2010,refined liquids industrial,0.3529623,South Africa
South America_Northern,electricity,refined liquids,refined liquids (steam/CT),2010,refined liquids industrial,0.4070701,South America_Northern
South America_Southern,electricity,refined liquids,refined liquids (steam/CT),2010,refined liquids industrial,0.3305662,South America_Southern
South Asia,electricity,refined liquids,refined liquids (steam/CT),2010,refined liquids industrial,0.3081088,South Asia
South Korea,electricity,refined liquids,refined liquids (steam/CT),2010,refined liquids industrial,0.3947338,South Korea
Southeast Asia,electricity,refined liquids,refined liquids (steam/CT),2010,refined liquids industrial,0.3477574,Southeast Asia
Taiwan,electricity,refined liquids,refined liquids (steam/CT),2010,refined liquids industrial,0.3785504,Taiwan
Argentina,electricity,refined liquids,refined liquids (steam/CT),2010,refined liquids industrial,0.3691857,Argentina
Colombia,electricity,refined liquids,refined liquids (steam/CT),2010,refined liquids industrial,0.2998089,Colombia
