INPUT_TABLE
Variable ID
RenewRsrc

region,renewresource,output.unit,price.unit,market
Europe_Eastern,geothermal,EJ,1975$/GJ,Europe_Eastern
Europe_Eastern,onshore wind resource,EJ,1975$/GJ,Europe_Eastern
Europe_Non_EU,biomass,EJ,1975$/GJ,Europe_Non_EU
Europe_Non_EU,distributed_solar,EJ,1975$/GJ,Europe_Non_EU
Europe_Non_EU,geothermal,EJ,1975$/GJ,Europe_Non_EU
Europe_Non_EU,onshore wind resource,EJ,1975$/GJ,Europe_Non_EU
European Free Trade Association,biomass,EJ,1975$/GJ,European Free Trade Association
European Free Trade Association,distributed_solar,EJ,1975$/GJ,European Free Trade Association
European Free Trade Association,geothermal,EJ,1975$/GJ,European Free Trade Association
European Free Trade Association,onshore wind resource,EJ,1975$/GJ,European Free Trade Association
India,biomass,EJ,1975$/GJ,India
India,distributed_solar,EJ,1975$/GJ,India
India,geothermal,EJ,1975$/GJ,India
India,onshore wind resource,EJ,1975$/GJ,India
India,traditional biomass,EJ,1975$/GJ,India
Indonesia,biomass,EJ,1975$/GJ,Indonesia
Indonesia,distributed_solar,EJ,1975$/GJ,Indonesia
Indonesia,geothermal,EJ,1975$/GJ,Indonesia
Indonesia,onshore wind resource,EJ,1975$/GJ,Indonesia
Indonesia,traditional biomass,EJ,1975$/GJ,Indonesia
Japan,biomass,EJ,1975$/GJ,Japan
Japan,distributed_solar,EJ,1975$/GJ,Japan
Japan,geothermal,EJ,1975$/GJ,Japan
Japan,onshore wind resource,EJ,1975$/GJ,Japan
Mexico,biomass,EJ,1975$/GJ,Mexico
Mexico,distributed_solar,EJ,1975$/GJ,Mexico
Mexico,geothermal,EJ,1975$/GJ,Mexico
Mexico,onshore wind resource,EJ,1975$/GJ,Mexico
Mexico,traditional biomass,EJ,1975$/GJ,Mexico
Middle East,biomass,EJ,1975$/GJ,Middle East
Middle East,distributed_solar,EJ,1975$/GJ,Middle East
Middle East,geothermal,EJ,1975$/GJ,Middle East
Middle East,onshore wind resource,EJ,1975$/GJ,Middle East
Pakistan,biomass,EJ,1975$/GJ,Pakistan
Pakistan,distributed_solar,EJ,1975$/GJ,Pakistan
Pakistan,geothermal,EJ,1975$/GJ,Pakistan
Pakistan,onshore wind resource,EJ,1975$/GJ,Pakistan
Pakistan,traditional biomass,EJ,1975$/GJ,Pakistan
Russia,biomass,EJ,1975$/GJ,Russia
Russia,distributed_solar,EJ,1975$/GJ,Russia
Russia,geothermal,EJ,1975$/GJ,Russia
Russia,onshore wind resource,EJ,1975$/GJ,Russia
South Africa,biomass,EJ,1975$/GJ,South Africa
South Africa,distributed_solar,EJ,1975$/GJ,South Africa
South Africa,geothermal,EJ,1975$/GJ,South Africa
South Africa,onshore wind resource,EJ,1975$/GJ,South Africa
South Africa,traditional biomass,EJ,1975$/GJ,South Africa
South America_Northern,biomass,EJ,1975$/GJ,South America_Northern
South America_Northern,distributed_solar,EJ,1975$/GJ,South America_Northern
South America_Northern,geothermal,EJ,1975$/GJ,South America_Northern
South America_Northern,onshore wind resource,EJ,1975$/GJ,South America_Northern
South America_Northern,traditional biomass,EJ,1975$/GJ,South America_Northern
South America_Southern,biomass,EJ,1975$/GJ,South America_Southern
South America_Southern,distributed_solar,EJ,1975$/GJ,South America_Southern
South America_Southern,geothermal,EJ,1975$/GJ,South America_Southern
South America_Southern,onshore wind resource,EJ,1975$/GJ,South America_Southern
South America_Southern,traditional biomass,EJ,1975$/GJ,South America_Southern
South Asia,biomass,EJ,1975$/GJ,South Asia
South Asia,distributed_solar,EJ,1975$/GJ,South Asia
South Asia,geothermal,EJ,1975$/GJ,South Asia
South Asia,onshore wind resource,EJ,1975$/GJ,South Asia
South Asia,traditional biomass,EJ,1975$/GJ,South Asia
South Korea,biomass,EJ,1975$/GJ,South Korea
South Korea,distributed_solar,EJ,1975$/GJ,South Korea
South Korea,geothermal,EJ,1975$/GJ,South Korea
South Korea,onshore wind resource,EJ,1975$/GJ,South Korea
Southeast Asia,biomass,EJ,1975$/GJ,Southeast Asia
Southeast Asia,distributed_solar,EJ,1975$/GJ,Southeast Asia
Southeast Asia,geothermal,EJ,1975$/GJ,Southeast Asia
Southeast Asia,onshore wind resource,EJ,1975$/GJ,Southeast Asia
Southeast Asia,traditional biomass,EJ,1975$/GJ,Southeast Asia
Taiwan,biomass,EJ,1975$/GJ,Taiwan
Taiwan,distributed_solar,EJ,1975$/GJ,Taiwan
Taiwan,geothermal,EJ,1975$/GJ,Taiwan
Taiwan,onshore wind resource,EJ,1975$/GJ,Taiwan
Argentina,biomass,EJ,1975$/GJ,Argentina
Argentina,distributed_solar,EJ,1975$/GJ,Argentina
Argentina,geothermal,EJ,1975$/GJ,Argentina
Argentina,onshore wind resource,EJ,1975$/GJ,Argentina
Argentina,traditional biomass,EJ,1975$/GJ,Argentina
Colombia,biomass,EJ,1975$/GJ,Colombia
Colombia,distributed_solar,EJ,1975$/GJ,Colombia
Colombia,geothermal,EJ,1975$/GJ,Colombia
Colombia,onshore wind resource,EJ,1975$/GJ,Colombia
Colombia,traditional biomass,EJ,1975$/GJ,Colombia
